Address,AddressType,AddressSource,ShipVia,AddressDefault,Status,AddressID,AddressName,Line1,Line2,City,State,PostalCode,Country,Phone,Fax,LeadDays,Accounting,Shipping,Notes
1,Company,ROANWELL,,111,Active,HQ,Roanwell Corporation,461 Timpson Pl,,Bronx,NY,10455,US,718-401-0288,,,FALSE,TRUE,
2,Customer,GENTEX,,111,Active,GENTEX,Gentex,9859 7TH STREET ,,RANCHO CUCAMONGA,CA,91730,UNITED STATES,909-257-3514,909-481-7759,,FALSE,TRUE,
3,Customer,DLA,,111,Active,DLA,DLA LAND & MARITIME,2001 NORMANDY DRIVE DOOR 113 TO 134,,NEW CUMBERLAND,PA,17070-5002,UNITED STATES,,,,FALSE,TRUE,
7,Customer,GENTEX,,0,Active,GENTEX PA,Gentex,324 MAIN STREET,,SIMPSOM ,PA,18407,UNITED STATES,,,,FALSE,TRUE,
2845,Customer,AMEMIN,,111,Active,Main,AMERICAN MINE POWER INC.,584 RAGLAND RD.,,BECKLEY,WV,25801,USA,,,0,FALSE,TRUE,Added via script
2877,Customer,AZTCOM,,111,Active,Main,AZTEC COMPUTERS,ELIZABETH A 4879 STATE ST.,,BETTENDORF,IA,52722,USA,,,0,FALSE,TRUE,Added via script
2908,Customer,BOTLIN,,111,Active,Main,BOTTOM LINE MILITARY SALES,400 ALABAMA AVE BLDG 548,,TYNDALL AFB,FL,32403-1297,USA,,,0,FALSE,TRUE,Added via script
2939,Customer,DEFSUP,,111,Active,Main,DEFENSE SUPP. OF EL. COMP. INC.,677 DAVE NISBET DRIVE SUITE 107,,CAPE CANAVERAL,FL,32920,USA,,,0,FALSE,TRUE,Added via script
2970,Customer,ENTRUS,,111,Active,Main,ENTRUST,1187 PARK PLACE RECEIVING DOCK (DOOR 7),,SHAKOPEE,MN,55379,USA,,,0,FALSE,TRUE,Added via script
3001,Customer,H.KTEC,,111,Active,Main,H.K. TECHNOLOGIES INC,43-32 22ND ST. SUITE 405,,LONG ISLAND CITY,NY,1101,USA,,,0,FALSE,TRUE,Added via script
3032,Customer,KBRWYL,,111,Active,Main,KBR WYLE SERVICES,MSOC-BLDG 416 2101 NASA PARKWAY BLDG 420,,MSOC HOUSTON,TX,77058,USA,,,0,FALSE,TRUE,Added via script
3063,Customer,MILAIR,,111,Active,Main,MILLION AIR,7810 ANDREWS ST. N.E. SUITE 134,,MOSES LAKE,WA,98837,USA,,,0,FALSE,TRUE,Added via script
3093,Customer,ORISER,,111,Active,Main,ORI SERVICES CORPORATION,P.O. BOX 80516,,SAN DIEGO,CA,92138,USA,,,0,FALSE,TRUE,Added via script
3125,Customer,ROCCOL,,0,Active,Ship04,ROCKWELL COLLINS,27300 SW PARKWAY,,WILSONVILLE,OR,97070-8735,USA,,,0,FALSE,TRUE,Added via script
3157,Customer,STAASS,,111,Active,Main,STANLEY ASSOCIATES INC.,1101 REMOUNT RD. SUITE 900 N,,CHARLESTON,SC,29406,USA,,,0,FALSE,TRUE,Added via script
3188,Customer,USSFRE,,111,Active,Main,USS FREEDOM LCS-1,3985 CUMMINGS RD. BLDG: 116,,SAN DIEGO,CA,92136,USA,,,0,FALSE,TRUE,Added via script
3217,Customer,NPTU-CHARLESTON,,111,Active,1,NPTU CHARLESTON,"260 Snow Point Rd,",,Goose Creek,SC,29445,UNITED STATES,,,,FALSE,TRUE,
3218,Customer,ELMECINC,,111,Active,1,ELMEC INC ,7 Raymond Avenue,"Building B, Suite 9",Salem,NH,3079,UNITED STATES,,,,FALSE,TRUE,
3216,Customer,ANIINC,,0,Active,ship02,ANIXTER INC.,7 SANTA FE WAY,,LANCASTER,PA,17603,USA,,,,FALSE,TRUE,
2815,Customer,85,,111,Active,Main,85,7801 GW MAEHR ROAD,,WACO,TX,76705,USA,,,0,FALSE,TRUE,Added via script
2816,Customer,FIREAG,,111,Active,Main,FIRE EAGLE INC.,1045 MILL CREEK DRIVE,,FEASTERVILLE,PA,19053,USA,,,0,FALSE,TRUE,Added via script
2817,Customer,MOTSOL,,111,Active,Main,MOTOROLA SOLUTIONS,7408 NEWFOUNDLAND WAY,,GAINESVILLE,VA,20155,USA,,,0,FALSE,TRUE,Added via script
2818,Customer,1SOBUS,,111,Active,Main,1SOMXG BUSINESS OFFICE,230 TERRY AVE BLDG 90135,,HURLBURT FIELD,FL,32544,USA,,,0,FALSE,TRUE,Added via script
2819,Customer,1STSPE,,111,Active,Main,1ST SPECIAL OPER. SUPP. SQUA.,EMPTY,,HURLBURT FIELD,FL,32544,USA,,,0,FALSE,TRUE,Added via script
2820,Customer,323GLO,,111,Active,Main,323 GLOBAL SOURCING,400 LIVELY BLVD.,,ELK GROVE VILLAGE,IL,60007,USA,,,0,FALSE,TRUE,Added via script
2821,Customer,413FLT,,111,Active,Main,413 FLT,306 W F AVE BLDG 439,,EGLIN AFB,FL,32542,USA,,,0,FALSE,TRUE,Added via script
2822,Customer,96T0SS,,111,Active,Main,96TH 0SS OSL,504 N. BARRANCAS AVE BLDG 32 ROOM 107,,EGLIN,FL,32542,USA,,,0,FALSE,TRUE,Added via script
2823,Customer,97OSS,,111,Active,Main,97 OSS,101 SOUTH 6TH STREET BLDG 225 RM 101,,ALTUS AFB,OK,73523,USA,,,0,FALSE,TRUE,Added via script
2824,Customer,A.SSEM,,111,Active,Main,A.S.A.P. SEMICONDUCTOR,1 PETERS CANYON DLDG 100,,IRVINE,CA,92606,USA,,,0,FALSE,TRUE,Added via script
2825,Customer,ABSMAN,,111,Active,Main,ABSOLUTE MANUFACTURING,24 LOMAR PARK DRIVE UNIT F,,PEPPERELL,MA,1463,USA,,,0,FALSE,TRUE,Added via script
2826,Customer,ABSMAN,,0,Active,Ship01,ABSOLUTE MANUFACTURING,7B EASTPOINT DRIVE UNIT 106,,HOOKSETT,NH,3106,USA,,,0,FALSE,TRUE,Added via script
2827,Customer,ACCVOI,,111,Active,Main,ACCUSONIC VOICE SYSTEM,200 EXECUTIVE DR. UNIT G,,EDGEWOOD,NY,11717,USA,,,0,FALSE,TRUE,Added via script
2828,Customer,ACTELE,,111,Active,Main,ACTION ELECTRONICS INC.,25 WALPOLE PARK SOUTH,,WALPOLE,MA,2081,USA,,,0,FALSE,TRUE,Added via script
2829,Customer,ADSINC,,111,Active,Main,ADS INC.,EMPTY,,SAN DIEGO,CA,92110,USA,,,0,FALSE,TRUE,Added via script
2830,Customer,ADVMIN,,111,Active,Main,ADVANCE MINING SERVICES,838 THIRD STREET,,OAKMONT,PA,15139,USA,,,0,FALSE,TRUE,Added via script
2831,Customer,ADVCOM,,111,Active,Main,ADVANCED COMPUTER CONCEPTS,4297 PACIFIC HIGHWAY BLDG OT7,,SAN DIEGO,CA,92110-5000,USA,,,0,FALSE,TRUE,Added via script
2832,Customer,AERTEC,,111,Active,Main,AERO TECHNICAL COMPONENTS,2800 GANDY BLVD N.,,ST PETERSBURG,FL,33702,USA,,,0,FALSE,TRUE,Added via script
2833,Customer,AERGRO,,111,Active,Main,AEROBASE GROUP INC.,145 EAST DR. UNIT B,,MELBOURNE,FL,32904,USA,,,0,FALSE,TRUE,Added via script
2834,Customer,AIR&,,111,Active,Main,AIR & GROUND AVIATION,35 SW 12TH AVE SUITE 110,,DANIA BEACH,FL,33004,USA,,,0,FALSE,TRUE,Added via script
2835,Customer,AIRFRA,,111,Active,Main,AIR FRAME MFG.&SUPPLY CO. INC.,26135 W. TECHNOLOGY DRIVE,,VALENCIA,CA,91355-1138,USA,,,0,FALSE,TRUE,Added via script
2836,Customer,AIRSYS,,111,Active,Main,AIRBORNE SYSTEM NA OF NJ INC.,5800 MAGNOLIA AVENUE,,PENNSAUKEN,NJ,8109,USA,,,0,FALSE,TRUE,Added via script
2837,Customer,ALBDIS,,111,Active,Main,ALBERTSON'S DIST. CENTER,17505 NE,,SAN RAFAEL PORTLAND,OR,97230,USA,,,0,FALSE,TRUE,Added via script
2838,Customer,ALESCH,,111,Active,Main,ALEXANDER SCHNEIDER U.S.A. INC.,501 CAMBRIA AVE,,BENSALEM,PA,19020,USA,,,0,FALSE,TRUE,Added via script
2839,Customer,ALKENT,,111,Active,Main,ALKA-EAST ENTERPRISES INC.,21 GREY ROCK DRIVE,,GREENWICH,CT,6831,USA,,,0,FALSE,TRUE,Added via script
2840,Customer,ALLSYS,,111,Active,Main,ALL- SYSTEM AEROSPACE,75 BEACON DRIVE,,HOLBROOK,NY,11741,USA,,,0,FALSE,TRUE,Added via script
2841,Customer,ALLTEL,,111,Active,Main,ALLEN TEL PRODUCTS INC.,30 TV5 DRIVE,,HENDERSON,NV,89014,USA,,,0,FALSE,TRUE,Added via script
2842,Customer,ALLDEF,,111,Active,Main,ALLIED DEFENCE INDUSTRIES INC.,210 COMMERCE CIRCLE,,KEARNEYSVILLE,WV,25430,USA,,,0,FALSE,TRUE,Added via script
2843,Customer,ALPENT,,111,Active,Main,ALPHA ENTERPRISES,6667 B OLD DOMINION DR.,,MCCLEAN,VA,22101,USA,,,0,FALSE,TRUE,Added via script
2844,Customer,AMECRY,,111,Active,Main,AMERICAN CRYSTAL SUGAR COMPANY,1201 HWY 75 SOUTH,,CROOKSTON,MN,56716,USA,,,0,FALSE,TRUE,Added via script
2846,Customer,AMEMIN,,0,Active,Ship01,AMERICAN MINE POWER INC.,40 WINDSOR WAY,,LOGAN,WV,25601,USA,,,0,FALSE,TRUE,Added via script
2847,Customer,AMESYS,,111,Active,Main,AMERICAN SYSTEMS,40 WISCONSIN AVE SUITE 2,,NORWICH,CT,6360,USA,,,0,FALSE,TRUE,Added via script
2848,Customer,AMESYS,,0,Active,Ship01,AMERICAN SYSTEMS,243 VERGASON AVE EXTENSION SUITE A,,NORWICH,CT,6360,USA,,,0,FALSE,TRUE,Added via script
2849,Customer,AMETRI,,111,Active,Main,AMERICAN TRIM,1005 W. GRAND AVE,,LIMA,OH,45801,USA,,,0,FALSE,TRUE,Added via script
2850,Customer,AM-MAC,,111,Active,Main,AM-MAC,311 RT. 46,,WEST FAIRFIELD,NJ,7004,USA,,,0,FALSE,TRUE,Added via script
2851,Customer,AMRINT,,111,Active,Main,AMRON INTERNATIONAL INC,1380 ASPEN WAY,,VISTA,CA,92081,USA,,,0,FALSE,TRUE,Added via script
2852,Customer,ANAMIC,,111,Active,Main,ANACAPA MICRO PRODUCTS INC.,901 BAY AREA BLVD,,HOUSTON,TX,77058,USA,,,0,FALSE,TRUE,Added via script
2853,Customer,ANAMIC,,0,Active,Ship01,ANACAPA MICRO PRODUCTS INC.,NASA PARKWAYBLDG 420,,HOUSTON,TX,77058,USA,,,0,FALSE,TRUE,Added via script
2854,Customer,ANIXTE,,111,Active,Main,ANIXTER,400 RUNNING PUMP RD.,,LANCASTER,PA,17603,USA,,,0,FALSE,TRUE,Added via script
2855,Customer,ANIXTE,,0,Active,Ship01,ANIXTER,7 SANTA FE WAY,,CRANBURY,NJ,8512,USA,,,0,FALSE,TRUE,Added via script
2856,Customer,ANICAN,,111,Active,Main,ANIXTER CANADA INC.,P.O. BOX 3074,,GLENVIEW,IL,60026,USA,,,0,FALSE,TRUE,Added via script
2857,Customer,ANIINC,,111,Active,Main,ANIXTER INC.,400 RUNNING PUMP ROAD,,LANCASTER,PA,17603,USA,,,0,FALSE,TRUE,Added via script
2858,Customer,ANIINC,,0,Active,Ship01,ANIXTER INC.,3400 LWRNCEVILLE,,SUWANEE R SUWANEE,GA,30024,USA,,,0,FALSE,TRUE,Added via script
2859,Customer,APPTEC,,111,Active,Main,APPLIED TECH,5200 POTOMAC DRIVE,,KING GEORGE,VA,22485,USA,,,0,FALSE,TRUE,Added via script
2860,Customer,APPVIO,,111,Active,Main,APPVION,ROARING SPRING MILL 100 PAPER MILL RD,,ROARING SPRING,PA,16673,USA,,,0,FALSE,TRUE,Added via script
2861,Customer,APPVIO,,0,Active,Ship01,APPVION,P.O. BOX 5226,,JANESVILLE,WI,53547,USA,,,0,FALSE,TRUE,Added via script
2862,Customer,ARE51,,111,Active,Main,AREA 51 - ESG INC.,51 POST,,IRVINE,CA,92618-5216,USA,,,0,FALSE,TRUE,Added via script
2863,Customer,ARIAER,,111,Active,Main,ARIES AEROSPACE LLC,1800 SW 34TH STREET SUITE 103,,FT LAUDERDALE,FL,33315,USA,,,0,FALSE,TRUE,Added via script
2864,Customer,ARNELE,,111,Active,Main,ARNAT ELECTRONICS CORP.,503 SOUTH BROADWAY STE 215,,YONKERS,NY,10705,USA,,,0,FALSE,TRUE,Added via script
2865,Customer,ARRDYN,,111,Active,Main,ARROW DYNAMICS LLC,1671 NW 144TH TERRACE,,SUNRISE,FL,33323,USA,,,0,FALSE,TRUE,Added via script
2866,Customer,AR-INC,,111,Active,Main,AR-TECH INC,12 TECHNOLOGY DRIVE SUITE 9,,EAST SETAUKEY,NY,1173,USA,,,0,FALSE,TRUE,Added via script
2867,Customer,AR-INC,,0,Active,Ship01,AR-TECH INC,12 TECHNOLOGY DRIVE SUITE 9,,EAST SETAUKEY,NY,11733,USA,,,0,FALSE,TRUE,Added via script
2868,Customer,ASSIND,,111,Active,Main,ASSOCIATED INDUSTRIES,11347 VANOWEN STREET,,NORTH HOLLYWOOD,CA,91605,USA,,,0,FALSE,TRUE,Added via script
2869,Customer,ASTELE,,111,Active,Main,ASTROCOM ELECTRONICS INC,115 D.K. LIFGREN DRIVE,,ONEONTA,NY,13820,USA,,,0,FALSE,TRUE,Added via script
2870,Customer,ATTINT,,111,Active,Main,ATTOP INTERNATIONAL LLC,15318 E VALLEY BLVD,,CITY OF INDUSTRY,CA,91746,USA,,,0,FALSE,TRUE,Added via script
2871,Customer,AUTBUS,,111,Active,Main,AUTOMATED BUSINESS POWER INC.,8677 GROVEMONT CIRCLE,,GAITHERSBURG,MD,20877,USA,,,0,FALSE,TRUE,Added via script
2872,Customer,AVISYS,,111,Active,Main,AVIATION SYSTEMS INTEGRATION ,US ARMY-S3I PO # SB-103625 6263 HACKBERRY RD,,REDSTONE ARSENAL,AL,35898,USA,,,0,FALSE,TRUE,Added via script
2873,Customer,AVIOSU,,111,Active,Main,AVIOSUPPORT,8525 120TH AVE N.E SUITE 300,,KIRKLAND,WA,98033,USA,,,0,FALSE,TRUE,Added via script
2874,Customer,AVILTD,,111,Active,Main,AVIO-TECH LTD.,6951 HOLTON RD.,,TWIN LAKE,MI,49457,USA,,,0,FALSE,TRUE,Added via script
2875,Customer,AVTSIM,,111,Active,Main,AVT SIMULATION,2603 CHALLENGER TECH COURT SUITE 180,,ORLANDO,FL,32826,USA,,,0,FALSE,TRUE,Added via script
2876,Customer,AWDINC,,111,Active,Main,AWDATA INC.,1020 NORTH POINT INDUSTRIAL BLVD,,HANAHAN,SC,29410,USA,,,0,FALSE,TRUE,Added via script
2878,Customer,AZTGLO,,111,Active,Main,AZTEC GLOBAL SOLUTIONS,1201 ACTIVITY DRIVE,,VISTA,CA,92081-8510,USA,,,0,FALSE,TRUE,Added via script
2879,Customer,BAESYS,,111,Active,Main,BAE SYSTEMS,P.O. BOX 471518,,CHARLOTTE,NC,28247,USA,,,0,FALSE,TRUE,Added via script
2880,Customer,BAESYS,,0,Active,Ship01,BAE SYSTEMS,P.O. BOX 486,,WILMINGTON,CA,90748,USA,,,0,FALSE,TRUE,Added via script
2881,Customer,BAESYS,,0,Active,Ship02,BAE SYSTEMS,23535 COTTONWOOD PARKWAY,,CALIFORNIA,MD,20619,USA,,,0,FALSE,TRUE,Added via script
2882,Customer,BAESYS,,0,Active,Ship03,BAE SYSTEMS,BAE SYSTEMS TSS INC 23535 COTTONWOOD PKWY,,CALIFORNIA,MD,2019,USA,,,0,FALSE,TRUE,Added via script
2883,Customer,BAESYS,,0,Active,Ship04,BAE SYSTEMS,23535 COTTONWOOD PARKWAY,,CALIFORNIA,MD,20850,USA,,,0,FALSE,TRUE,Added via script
2884,Customer,BAESYS,,0,Active,Ship05,BAE SYSTEMS,P.O BOX 471518,,CHARLOTTE,NC,28247,USA,,,0,FALSE,TRUE,Added via script
2885,Customer,BAESYS,,0,Active,Ship06,BAE SYSTEMS,44411 PECAN CT,,CALIFORNIA,MD,20619,USA,,,0,FALSE,TRUE,Added via script
2886,Customer,BAESYS,,0,Active,Ship07,BAE SYSTEMS,557 MARY ESTHER CUT-OFF FT,,WALTON BEACH,FL,32548-4090,USA,,,0,FALSE,TRUE,Added via script
2887,Customer,BALCOR,,111,Active,Main,BALL CORPORATION,11 ADAMS STREET,,SARATOGA,NY,12834,USA,,,0,FALSE,TRUE,Added via script
2888,Customer,BATIRO,,111,Active,Main,BATH IRON WORKS,ACE WAREHOUSE 76 NEW MEADOWS RD,,WEST BATH,ME,4530,USA,,,0,FALSE,TRUE,Added via script
2889,Customer,BATIRO,,0,Active,Ship01,BATH IRON WORKS,16 MALLET PARK BATH RD.,,BRUNSWICK,ME,4011,USA,,,0,FALSE,TRUE,Added via script
2890,Customer,BATIRO,,0,Active,Ship02,BATH IRON WORKS,ACE WAREHOUSE 203 READ STREET BAY # 4,,PORTLAND,ME,4103,USA,,,0,FALSE,TRUE,Added via script
2891,Customer,BATIRO,,0,Active,Ship03,BATH IRON WORKS,203 READ STREET BAY 4,,PORTLAND,ME,4103,USA,,,0,FALSE,TRUE,Added via script
2892,Customer,BATIRO,,0,Active,Ship04,BATH IRON WORKS,16 MALLET PARK BATH ROAD,,BRUNSWICK,ME,4011,USA,,,0,FALSE,TRUE,Added via script
2893,Customer,BATIRO,,0,Active,Ship05,BATH IRON WORKS,700 WASHINGTON STREET,,BATH,ME,4530,USA,,,0,FALSE,TRUE,Added via script
2894,Customer,BCPSYS,,111,Active,Main,BCP SYSTEMS INC,1560 S.SINCLAIR STREET,,ANAHEIM,CA,92806,USA,,,0,FALSE,TRUE,Added via script
2895,Customer,BECMAR,,111,Active,Main,BECHTEL MARINE PROPULSION,814 PITSBURGH-MCKEESPORT BLVD.,,WEST MIFFLIN,PA,15123,USA,,,0,FALSE,TRUE,Added via script
2896,Customer,BELMIL,,111,Active,Main,BELGIAN MIL. SUPPLY OFFICE,8810 JERICHO CITY DRIVE,,LANDOVER,MD,20785,USA,,,0,FALSE,TRUE,Added via script
2897,Customer,BELHEL,,111,Active,Main,BELL HELICOPTER,P.O. BOX770902,,FORT WORTH,TX,76177-0090,USA,,,0,FALSE,TRUE,Added via script
2898,Customer,BENAIR,,111,Active,Main,BENDER AIRCRAFT PARTS,175 EL PINO DRIVE,,NEW SMYRNA,FL.,32168-9078,USA,,,0,FALSE,TRUE,Added via script
2899,Customer,BENAIR,,0,Active,Ship01,BENDER AIRCRAFT PARTS,BENDER AIRCRAFT PARTS INC. 175 EL PINO DRIVE,,NEW SMYRNA BEACH,FL,32168-9078,USA,,,0,FALSE,TRUE,Added via script
2900,Customer,BENAIR,,0,Active,Ship02,BENDER AIRCRAFT PARTS,175 EL PINO DRIVE,,NEW SMYRNA BEACH,FL,32168,USA,,,0,FALSE,TRUE,Added via script
